acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,reverse_grad_weight,hidden_size,dropout_rate,diff_weight,sim_weight,recon_weight,lr
56.91,49.35,51.73,48.86,0.5038,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.7,0.3,2e-05
56.91,47.99,49.31,47.24,0.5146,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.7,0.3,2.9999999999999997e-05
57.96,50.32,52.47,49.68,0.507,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.7,0.5,2e-05
58.11,49.7,50.91,49.72,0.5029,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.7,0.5,2.9999999999999997e-05
56.7,49.31,50.57,49.7,0.5047,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.7,0.6,2e-05
58.01,48.56,49.74,48.06,0.5072,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.7,0.6,2.9999999999999997e-05
56.39,49.7,51.86,49.45,0.5123,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.5,0.3,2e-05
58.27,50.68,53.76,49.61,0.5063,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.5,0.3,2.9999999999999997e-05
57.22,49.51,50.74,49.86,0.5138,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.5,0.5,2e-05
57.75,49.03,51.43,47.78,0.5096,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.5,0.5,2.9999999999999997e-05
58.42,49.93,51.78,48.79,0.5008,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.5,0.6,2e-05
56.76,48.67,49.71,49.01,0.5297,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.7,0.5,0.6,2.9999999999999997e-05
57.9,50.66,52.16,49.61,0.5095,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.7,0.3,2e-05
58.63,49.93,56.01,48.41,0.5129,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.7,0.3,2.9999999999999997e-05
57.85,47.74,49.18,46.97,0.5099,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.7,0.5,2e-05
58.01,49.96,51.93,48.97,0.5079,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.7,0.5,2.9999999999999997e-05
57.9,50.07,51.36,49.25,0.522,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.7,0.6,2e-05
58.84,49.83,50.44,50.2,0.5127,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.7,0.6,2.9999999999999997e-05
56.55,50.31,59.51,50.14,0.5097,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.5,0.3,2e-05
58.32,50.46,52.42,49.7,0.5145,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.5,0.3,2.9999999999999997e-05
56.65,48.5,51.09,47.64,0.5159,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.5,0.5,2e-05
57.33,49.17,51.96,47.61,0.5069,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.5,0.5,2.9999999999999997e-05
57.54,49.04,50.55,48.28,0.5111,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.5,0.6,2e-05
57.85,49.94,51.91,48.77,0.5118,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.1,0.5,0.5,0.6,2.9999999999999997e-05
58.27,49.16,51.43,47.87,0.5031,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.7,0.3,2e-05
56.76,50.75,56.5,50.07,0.5058,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.7,0.3,2.9999999999999997e-05
57.49,50.52,52.49,50.28,0.5041,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.7,0.5,2e-05
58.74,50.73,56.71,49.25,0.5011,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.7,0.5,2.9999999999999997e-05
58.63,50.02,51.6,49.55,0.5141,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.7,0.6,2e-05
58.32,49.61,51.88,48.41,0.4995,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.7,0.6,2.9999999999999997e-05
57.96,50.45,51.48,49.89,0.4986,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.3,2e-05
58.11,50.37,54.48,49.4,0.5076,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.3,2.9999999999999997e-05
57.02,49.3,50.89,49.31,0.5145,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.5,2e-05
58.06,48.91,51.18,47.93,0.5088,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.5,2.9999999999999997e-05
57.69,50.41,51.83,50.73,0.5084,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.6,2e-05
58.89,50.96,54.05,50.61,0.5106,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.6,2.9999999999999997e-05
56.23,48.15,50.03,47.46,0.5183,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.7,0.3,2e-05
58.37,49.53,51.4,48.65,0.5116,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.7,0.3,2.9999999999999997e-05
56.7,49.29,50.5,49.63,0.5041,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.7,0.5,2e-05
58.53,48.14,51.04,47.77,0.4976,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.7,0.5,2.9999999999999997e-05
57.33,50.4,51.97,50.69,0.499,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.7,0.6,2e-05
57.64,48.62,49.51,48.9,0.5229,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.7,0.6,2.9999999999999997e-05
58.79,49.25,49.7,49.51,0.4997,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.5,0.5,0.3,2e-05
..,,,,,,,,,,,,,,,,
58.11,49.88,51.93,48.78,0.4959,MELD-DA,misa,bert-base-uncased,2.0,misa_MELD-DA_multi-class_seed-2,0.8,256.0,0.2,0.7,0.5,0.6,2.9999999999999997e-05
59.26,49.84,51.05,49.91,0.4916,MELD-DA,misa,bert-base-uncased,3.0,misa_MELD-DA_multi-class_seed-3,0.8,256.0,0.2,0.7,0.5,0.6,3e-05
57.69,50.84,52.85,51.6,0.5193,MELD-DA,misa,bert-base-uncased,4.0,misa_MELD-DA_multi-class_seed-4,0.8,256.0,0.2,0.7,0.5,0.6,2.9999999999999997e-05
59.0,48.75,51.75,46.82,0.5015,MELD-DA,misa,bert-base-uncased,5.0,misa_MELD-DA_multi-class_seed-5,0.8,256.0,0.2,0.7,0.5,0.6,3e-05
..,,,,,,,,,,,,,,,,
58.11,50.37,54.48,49.4,0.5076,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.3,2.9999999999999997e-05
57.96,50.45,51.48,49.89,0.4986,MELD-DA,misa,bert-base-uncased,1.0,misa_MELD-DA_multi-class_seed-1,0.8,256.0,0.2,0.7,0.5,0.3,2e-05
