acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,reverse_grad_weight,hidden_size,dropout_rate,diff_weight,sim_weight,recon_weight,lr
58.88,58.0,58.08,52.56,55.51,52.01,67.29,78.11,49.09,91.56,36.93,59.45,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0,misa_ma_MIntRec2_multi-class_0_2024-05-18-02-35-55,0.3,256,0.1,0.5,0.7,0.3,2e-05
59.32,58.86,58.79,53.44,54.63,52.93,64.57,76.7,45.8,92.82,38.51,60.19,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,1,misa_ma_MIntRec2_multi-class_0_2024-05-18-02-35-55,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.93,58.47,58.38,53.01,54.36,52.44,65.84,76.91,47.85,93.23,38.6,60.47,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,2,misa_ma_MIntRec2_multi-class_0_2024-05-18-02-35-55,0.3,256,0.1,0.5,0.7,0.3,2e-05
57.7,57.5,57.78,52.06,52.7,51.97,65.03,76.53,46.7,93.15,38.6,60.45,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,3,misa_ma_MIntRec2_multi-class_0_2024-05-18-02-35-55,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.44,57.67,57.77,52.4,54.66,51.42,65.04,76.05,46.73,92.56,38.51,60.08,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,4,misa_ma_MIntRec2_multi-class_0_2024-05-18-02-35-55,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.88,58.0,58.08,52.56,55.51,52.01,69.31,78.88,53.62,85.88,35.42,55.82,MIntRec2,MIntRec2-OOD,misa,residual,bert-base-uncased,0,misa_residual_MIntRec2_multi-class_0_2024-05-18-02-39-02,0.3,256,0.1,0.5,0.7,0.3,2e-05
59.32,58.86,58.79,53.44,54.63,52.93,66.87,77.84,49.95,89.97,38.18,58.44,MIntRec2,MIntRec2-OOD,misa,residual,bert-base-uncased,1,misa_residual_MIntRec2_multi-class_0_2024-05-18-02-39-02,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.93,58.47,58.38,53.01,54.36,52.44,67.82,78.25,50.73,89.81,36.84,58.37,MIntRec2,MIntRec2-OOD,misa,residual,bert-base-uncased,2,misa_residual_MIntRec2_multi-class_0_2024-05-18-02-39-02,0.3,256,0.1,0.5,0.7,0.3,2e-05
57.7,57.5,57.78,52.06,52.7,51.97,67.5,78.27,50.47,89.31,37.76,58.03,MIntRec2,MIntRec2-OOD,misa,residual,bert-base-uncased,3,misa_residual_MIntRec2_multi-class_0_2024-05-18-02-39-02,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.44,57.67,57.77,52.4,54.66,51.42,67.8,77.79,51.46,88.64,36.42,57.61,MIntRec2,MIntRec2-OOD,misa,residual,bert-base-uncased,4,misa_residual_MIntRec2_multi-class_0_2024-05-18-02-39-02,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.88,58.0,58.08,52.56,55.51,52.01,70.66,79.49,56.11,82.12,34.5,53.53,MIntRec2,MIntRec2-OOD,misa,vim,bert-base-uncased,0,misa_vim_MIntRec2_multi-class_0_2024-05-18-02-41-39,0.3,256,0.1,0.5,0.7,0.3,2e-05
59.32,58.86,58.79,53.44,54.63,52.93,68.57,78.55,52.91,87.05,36.84,56.63,MIntRec2,MIntRec2-OOD,misa,vim,bert-base-uncased,1,misa_vim_MIntRec2_multi-class_0_2024-05-18-02-41-39,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.93,58.47,58.38,53.01,54.36,52.44,69.02,78.61,53.2,87.05,36.09,56.63,MIntRec2,MIntRec2-OOD,misa,vim,bert-base-uncased,2,misa_vim_MIntRec2_multi-class_0_2024-05-18-02-41-39,0.3,256,0.1,0.5,0.7,0.3,2e-05
57.7,57.5,57.78,52.06,52.7,51.97,68.18,78.24,52.47,86.22,36.76,56.11,MIntRec2,MIntRec2-OOD,misa,vim,bert-base-uncased,3,misa_vim_MIntRec2_multi-class_0_2024-05-18-02-41-39,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.44,57.67,57.77,52.4,54.66,51.42,68.6,77.92,53.82,86.88,36.42,56.47,MIntRec2,MIntRec2-OOD,misa,vim,bert-base-uncased,4,misa_vim_MIntRec2_multi-class_0_2024-05-18-02-41-39,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.88,58.0,58.08,52.56,55.51,52.01,69.35,77.12,55.82,84.46,35.59,55.0,MIntRec2,MIntRec2-OOD,misa,energy,bert-base-uncased,0,misa_energy_MIntRec2_multi-class_0_2024-05-18-02-44-25,0.3,256,0.1,0.5,0.7,0.3,2e-05
59.32,58.86,58.79,53.44,54.63,52.93,67.97,76.81,54.03,86.97,36.34,56.56,MIntRec2,MIntRec2-OOD,misa,energy,bert-base-uncased,1,misa_energy_MIntRec2_multi-class_0_2024-05-18-02-44-25,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.93,58.47,58.38,53.01,54.36,52.44,67.66,75.97,54.01,85.13,36.34,55.42,MIntRec2,MIntRec2-OOD,misa,energy,bert-base-uncased,2,misa_energy_MIntRec2_multi-class_0_2024-05-18-02-44-25,0.3,256,0.1,0.5,0.7,0.3,2e-05
57.7,57.5,57.78,52.06,52.7,51.97,66.58,75.3,52.27,85.88,37.34,55.86,MIntRec2,MIntRec2-OOD,misa,energy,bert-base-uncased,3,misa_energy_MIntRec2_multi-class_0_2024-05-18-02-44-25,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.44,57.67,57.77,52.4,54.66,51.42,66.51,74.44,53.94,86.47,37.01,56.25,MIntRec2,MIntRec2-OOD,misa,energy,bert-base-uncased,4,misa_energy_MIntRec2_multi-class_0_2024-05-18-02-44-25,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.88,58.0,58.08,52.56,55.51,52.01,68.62,76.67,54.33,83.79,36.17,54.54,MIntRec2,MIntRec2-OOD,misa,maxlogit,bert-base-uncased,0,misa_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-46-10,0.3,256,0.1,0.5,0.7,0.3,2e-05
59.32,58.86,58.79,53.44,54.63,52.93,67.62,76.62,53.41,86.63,36.59,56.37,MIntRec2,MIntRec2-OOD,misa,maxlogit,bert-base-uncased,1,misa_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-46-10,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.93,58.47,58.38,53.01,54.36,52.44,67.1,75.65,52.75,86.88,36.42,56.49,MIntRec2,MIntRec2-OOD,misa,maxlogit,bert-base-uncased,2,misa_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-46-10,0.3,256,0.1,0.5,0.7,0.3,2e-05
57.7,57.5,57.78,52.06,52.7,51.97,66.22,75.08,51.48,88.97,37.59,57.82,MIntRec2,MIntRec2-OOD,misa,maxlogit,bert-base-uncased,3,misa_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-46-10,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.44,57.67,57.77,52.4,54.66,51.42,66.25,74.24,53.47,85.63,37.51,55.74,MIntRec2,MIntRec2-OOD,misa,maxlogit,bert-base-uncased,4,misa_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-46-10,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.88,58.0,58.08,52.56,55.51,52.01,66.02,75.52,51.44,85.88,38.68,55.9,MIntRec2,MIntRec2-OOD,misa,msp,bert-base-uncased,0,misa_msp_MIntRec2_multi-class_0_2024-05-18-02-48-01,0.3,256,0.1,0.5,0.7,0.3,2e-05
59.32,58.86,58.79,53.44,54.63,52.93,65.91,76.48,51.06,86.63,38.26,56.35,MIntRec2,MIntRec2-OOD,misa,msp,bert-base-uncased,1,misa_msp_MIntRec2_multi-class_0_2024-05-18-02-48-01,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.93,58.47,58.38,53.01,54.36,52.44,64.72,74.46,49.79,88.64,39.26,57.63,MIntRec2,MIntRec2-OOD,misa,msp,bert-base-uncased,2,misa_msp_MIntRec2_multi-class_0_2024-05-18-02-48-01,0.3,256,0.1,0.5,0.7,0.3,2e-05
57.7,57.5,57.78,52.06,52.7,51.97,64.4,74.59,48.79,89.72,39.77,58.3,MIntRec2,MIntRec2-OOD,misa,msp,bert-base-uncased,3,misa_msp_MIntRec2_multi-class_0_2024-05-18-02-48-01,0.3,256,0.1,0.5,0.7,0.3,2e-05
58.44,57.67,57.77,52.4,54.66,51.42,64.73,74.23,51.06,86.88,39.77,56.53,MIntRec2,MIntRec2-OOD,misa,msp,bert-base-uncased,4,misa_msp_MIntRec2_multi-class_0_2024-05-18-02-48-01,0.3,256,0.1,0.5,0.7,0.3,2e-05
