acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
58.29,57.83,58.35,53.23,55.58,52.49,71.23,80.5,55.04,86.22,34.0,56.11,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0,mmim_ma_MIntRec2_multi-class_0_2024-05-18-03-25-38,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.6,56.81,57.35,51.31,53.73,50.77,70.18,80.02,53.65,87.64,35.0,57.0,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1,mmim_ma_MIntRec2_multi-class_0_2024-05-18-03-25-38,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.35,56.97,58.01,52.31,55.96,52.53,70.43,80.04,54.74,87.55,35.09,56.93,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2,mmim_ma_MIntRec2_multi-class_0_2024-05-18-03-25-38,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.09,57.48,58.51,52.69,54.44,53.34,68.35,78.09,53.08,88.72,37.34,57.67,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3,mmim_ma_MIntRec2_multi-class_0_2024-05-18-03-25-38,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.68,57.65,58.6,53.98,58.32,52.53,71.19,80.05,55.6,85.96,34.42,55.95,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,4,mmim_ma_MIntRec2_multi-class_0_2024-05-18-03-25-38,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.29,57.83,58.35,53.23,55.58,52.49,72.33,82.06,56.69,84.38,34.34,54.93,MIntRec2,MIntRec2-OOD,mmim,residual,bert-base-uncased,0,mmim_residual_MIntRec2_multi-class_0_2024-05-18-03-29-02,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.6,56.81,57.35,51.31,53.73,50.77,71.21,81.24,55.62,86.22,33.92,56.09,MIntRec2,MIntRec2-OOD,mmim,residual,bert-base-uncased,1,mmim_residual_MIntRec2_multi-class_0_2024-05-18-03-29-02,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.35,56.97,58.01,52.31,55.96,52.53,71.11,80.78,57.21,83.88,34.67,54.63,MIntRec2,MIntRec2-OOD,mmim,residual,bert-base-uncased,2,mmim_residual_MIntRec2_multi-class_0_2024-05-18-03-29-02,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.09,57.48,58.51,52.69,54.44,53.34,68.76,78.52,53.91,84.88,36.59,55.25,MIntRec2,MIntRec2-OOD,mmim,residual,bert-base-uncased,3,mmim_residual_MIntRec2_multi-class_0_2024-05-18-03-29-02,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.68,57.65,58.6,53.98,58.32,52.53,71.99,81.13,57.45,81.45,33.17,53.11,MIntRec2,MIntRec2-OOD,mmim,residual,bert-base-uncased,4,mmim_residual_MIntRec2_multi-class_0_2024-05-18-03-29-02,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.29,57.83,58.35,53.23,55.58,52.49,72.8,81.91,58.04,84.46,32.75,54.98,MIntRec2,MIntRec2-OOD,mmim,vim,bert-base-uncased,0,mmim_vim_MIntRec2_multi-class_0_2024-05-18-03-32-56,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.6,56.81,57.35,51.31,53.73,50.77,72.82,82.29,57.89,84.04,32.33,54.72,MIntRec2,MIntRec2-OOD,mmim,vim,bert-base-uncased,1,mmim_vim_MIntRec2_multi-class_0_2024-05-18-03-32-56,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.35,56.97,58.01,52.31,55.96,52.53,72.4,81.81,58.85,84.63,34.09,55.11,MIntRec2,MIntRec2-OOD,mmim,vim,bert-base-uncased,2,mmim_vim_MIntRec2_multi-class_0_2024-05-18-03-32-56,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.09,57.48,58.51,52.69,54.44,53.34,72.17,80.91,58.04,83.46,33.75,54.37,MIntRec2,MIntRec2-OOD,mmim,vim,bert-base-uncased,3,mmim_vim_MIntRec2_multi-class_0_2024-05-18-03-32-56,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.68,57.65,58.6,53.98,58.32,52.53,73.18,81.67,59.99,80.03,32.16,52.22,MIntRec2,MIntRec2-OOD,mmim,vim,bert-base-uncased,4,mmim_vim_MIntRec2_multi-class_0_2024-05-18-03-32-56,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.29,57.83,58.35,53.23,55.58,52.49,70.44,78.81,56.02,84.54,34.42,55.05,MIntRec2,MIntRec2-OOD,mmim,energy,bert-base-uncased,0,mmim_energy_MIntRec2_multi-class_0_2024-05-18-03-36-06,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.6,56.81,57.35,51.31,53.73,50.77,71.3,80.62,57.07,83.96,34.42,54.65,MIntRec2,MIntRec2-OOD,mmim,energy,bert-base-uncased,1,mmim_energy_MIntRec2_multi-class_0_2024-05-18-03-36-06,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.35,56.97,58.01,52.31,55.96,52.53,70.05,79.28,55.94,83.21,35.42,54.19,MIntRec2,MIntRec2-OOD,mmim,energy,bert-base-uncased,2,mmim_energy_MIntRec2_multi-class_0_2024-05-18-03-36-06,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.09,57.48,58.51,52.69,54.44,53.34,71.54,80.07,57.83,82.71,33.25,53.9,MIntRec2,MIntRec2-OOD,mmim,energy,bert-base-uncased,3,mmim_energy_MIntRec2_multi-class_0_2024-05-18-03-36-06,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.68,57.65,58.6,53.98,58.32,52.53,70.93,78.85,58.84,82.21,34.34,53.58,MIntRec2,MIntRec2-OOD,mmim,energy,bert-base-uncased,4,mmim_energy_MIntRec2_multi-class_0_2024-05-18-03-36-06,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.29,57.83,58.35,53.23,55.58,52.49,69.65,78.38,54.87,85.38,35.09,55.56,MIntRec2,MIntRec2-OOD,mmim,maxlogit,bert-base-uncased,0,mmim_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-38-15,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.6,56.81,57.35,51.31,53.73,50.77,70.6,80.18,55.81,83.88,34.42,54.62,MIntRec2,MIntRec2-OOD,mmim,maxlogit,bert-base-uncased,1,mmim_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-38-15,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.35,56.97,58.01,52.31,55.96,52.53,69.29,78.83,54.65,84.21,35.34,54.83,MIntRec2,MIntRec2-OOD,mmim,maxlogit,bert-base-uncased,2,mmim_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-38-15,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.09,57.48,58.51,52.69,54.44,53.34,70.81,79.56,56.63,83.71,33.58,54.53,MIntRec2,MIntRec2-OOD,mmim,maxlogit,bert-base-uncased,3,mmim_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-38-15,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.68,57.65,58.6,53.98,58.32,52.53,70.19,78.38,57.27,83.46,34.67,54.37,MIntRec2,MIntRec2-OOD,mmim,maxlogit,bert-base-uncased,4,mmim_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-38-15,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.29,57.83,58.35,53.23,55.58,52.49,63.13,74.96,47.51,90.64,40.18,58.89,MIntRec2,MIntRec2-OOD,mmim,msp,bert-base-uncased,0,mmim_msp_MIntRec2_multi-class_0_2024-05-18-03-40-34,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.6,56.81,57.35,51.31,53.73,50.77,64.87,76.66,50.28,86.05,40.6,56.0,MIntRec2,MIntRec2-OOD,mmim,msp,bert-base-uncased,1,mmim_msp_MIntRec2_multi-class_0_2024-05-18-03-40-34,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
57.35,56.97,58.01,52.31,55.96,52.53,63.84,75.32,48.55,88.72,40.6,57.68,MIntRec2,MIntRec2-OOD,mmim,msp,bert-base-uncased,2,mmim_msp_MIntRec2_multi-class_0_2024-05-18-03-40-34,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.09,57.48,58.51,52.69,54.44,53.34,65.93,76.76,51.23,87.39,38.85,56.84,MIntRec2,MIntRec2-OOD,mmim,msp,bert-base-uncased,3,mmim_msp_MIntRec2_multi-class_0_2024-05-18-03-40-34,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
58.68,57.65,58.6,53.98,58.32,52.53,63.96,74.64,49.82,87.13,39.85,56.65,MIntRec2,MIntRec2-OOD,mmim,msp,bert-base-uncased,4,mmim_msp_MIntRec2_multi-class_0_2024-05-18-03-40-34,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,16,32,8,16,512,20,0.5
